id,regno,site,class,construction,year,place,Al_K12,Ar_K12,As_K12,As_L1,Ba_K12,Ba_L1,Br_K12,Br_L1,Ca_K12,Cd_K12,Cd_L1,Cl_K12,Cr_K12,Cu_K12,Fe_K12,Ga_K12,Ga_L1,In_K12,In_L1,K_K12,Mn_K12,Ni_K12,P_K12,Pb_L1,Pb_M1,Pd_K12,Pd_L1,Rb_K12,Rb_L1,Rh_K12,Rh_L1,S_K12,Sc_K12,Si_K12,Sn_K12,Sn_L1,Sr_K12,Sr_L1,Ti_K12,V_K12,Y_K12,Y_L1,Zn_K12,Zr_K12,Zr_L1
241,ZT3982I,ZT,Dutch,Wooden,1712,Side,429,0,5,157,728,157,1554,1,145463,274,0,335,136,2485,115998,0,862,84,12,10712,7403,325,3,9465,0,32905,183,2009,10,40960,22,34,602,5877,2003,360,150883,1,1614,181,1523,49,6045,18891,0
157,ZT39821,ZT,Dutch,Wooden,1712,InsideBase,498,1,7,184,1008,-1,1396,1,125162,99,0,139,208,9755,306183,0,1092,146,619,8908,11126,485,1,12323,19,36815,293,2564,2,48535,0,1,456,5422,2389,3,158597,1,2630,86,2064,0,8185,22927,0
155,ZT3982I,ZT,Dutch,Wooden,1712,Cross,397,1,267,136,867,2,1344,1,125484,290,-1,334,92,2313,103286,0,718,69,890,8551,6640,325,151,7858,0,24732,144,2163,143,35024,0,41,460,4930,1307,1,128333,45,1619,185,1195,1,5338,14758,1
123,ZT6316,ZT,Dutch,Wooden,1712,Outside,550,1,-1,216,3193,917,868,1,144431,290,0,794,56,2411,64483,44,959,298,1115,15503,26085,427,95,2382,0,40215,121,9199,17,49851,1,25,615,5500,1316,27,107371,132,1267,276,1297,1,5326,23357,-2
122,ZT6316,ZT,Dutch,Wooden,1712,Cross,353,23,588,148,3026,660,926,1,123706,138,0,582,43,2284,60808,89,985,17,16,16157,25127,299,169,1979,0,35882,129,8845,439,41894,13,95,503,5198,772,444,97427,1,1379,323,1011,102,4994,21330,1
121,ZT6316,ZT,Dutch,Wooden,1712,Outside,49,1,124,236,2576,164,3884,322,388203,430,-1,2453,101,2193,19198,18,1043,770,91,3836,6581,229,1,4299,0,38150,186,6104,1,46047,1,577,1420,720,1902,1025,135589,298,216,25,601,123,2317,16920,0
240,CM18A,CM,Colonial,Composite,1830,Outside,531,4,121,236,1464,23,313,1,162773,306,0,483,232,1640,148172,120,1001,117,461,3178,2872,410,67,2835,33,39719,229,3213,208,50195,0,2,552,5970,711,296,44603,30,2403,183,1760,47,2903,22832,1
147,CM18A,CM,Colonial,Composite,1830,Neck,731,3,-1,275,1103,41,157,1,162715,80,0,427,262,1466,147258,140,1100,239,373,3535,2991,283,1,2817,1,39034,322,3089,488,50467,0,15,314,5758,1152,334,44298,86,2317,220,1981,1,2912,23603,76
22,ZW127,ZW,Dutch,Wooden,1727,Base,661,28,0,215,2443,238,881,1,56999,476,0,172,61,2419,105114,0,1067,109,5,10424,16641,297,71,6866,0,38147,128,5228,462,46645,1,337,239,5457,2372,184,85886,60,3387,163,1067,1,5913,25928,19
21,ZW127,ZW,Dutch,Wooden,1727,Exterior,622,1,0,263,2954,435,853,1,73944,124,0,476,112,2415,100290,95,979,220,243,10146,22890,279,84,6497,0,40189,185,5489,175,50259,1,621,13,5521,2197,42,90250,1,2799,149,1340,106,6893,25445,1
20,ZW127,ZW,Dutch,Wooden,1727,Cross,519,1,0,271,2291,525,66,1,127963,97,0,460,1,2332,70982,89,1065,46,309,11152,21270,361,149,5076,1,38268,267,5038,46,48721,10,72,382,5873,1707,239,88949,1,1617,177,1571,1,5328,22741,109
239,ZW127,ZW,Dutch,Wooden,1727,Outside,589,1,564,187,2933,330,1409,1,48545,374,1,589,156,2626,89735,0,1058,320,1,3242,16369,299,-1,4792,0,39977,0,4741,636,49939,-1,226,455,5703,1348,2,90700,63,4015,231,1639,1,9112,30099,0
69,ZW127,ZW,Dutch,Wooden,1727,Base,605,61,721,265,2503,369,1348,1,46302,0,-1,656,105,2513,99013,0,961,450,1,3956,17206,243,1,4111,0,38495,190,4932,1,48887,1,130,447,6504,907,0,90356,50,3856,171,1611,1,8269,29456,1
68,ZW127,ZW,Dutch,Wooden,1727,InsideBase,482,1,439,264,2673,484,851,59,63065,241,0,351,49,2490,98513,201,985,145,50,4732,19360,148,1,4454,1,38723,365,4958,342,47220,1,2,555,5907,1360,112,88730,1,3507,191,1415,1,9721,29077,109
28,ZW1113,ZW,Dutch,Wooden,1727,Side,410,1,102,250,2550,930,817,70,97614,338,0,774,170,2989,92748,52,1028,344,641,8657,26246,359,140,5220,1,39816,221,6592,1,48359,1,166,152,4599,1549,1,84485,1,2035,302,1756,1,7857,28916,1
27,ZW1113,ZW,Dutch,Wooden,1727,Side,477,1,-1,280,2840,627,565,1,92516,183,0,1576,73,3425,99993,116,975,85,576,8489,27339,297,215,5522,0,38069,248,6875,1,49357,1,335,252,4583,1222,1,86922,1,2691,241,1799,1,8414,30507,1
26,ZW1113,ZW,Dutch,Wooden,1727,Side,286,21,380,376,3009,716,716,1,101919,454,0,747,103,3579,88019,3,1099,179,201,8945,25906,307,234,5235,1,39717,164,6841,1,49887,1,126,601,4243,1576,263,86229,48,2181,212,1567,1,8057,29733,1
238,ZW1113,ZW,Dutch,Wooden,1727,Side,372,1,600,245,2468,771,327,1,111550,239,1,838,1,3632,87917,97,1086,118,256,10361,24747,409,201,4833,0,39976,134,6966,256,52244,82,52,308,4517,1300,173,86706,1,2114,207,2068,0,7947,30538,1
53,ZW1113,ZW,Dutch,Wooden,1727,Inside,542,1,303,156,2048,612,244,1,95717,251,0,464,35,2431,62319,39,846,211,8,9200,17322,238,2,3700,0,32119,180,4931,344,34761,1,53,144,4038,1330,239,63157,1,1405,141,1217,213,5396,22432,2
51,ZW1113,ZW,Dutch,Wooden,1727,Side,440,1,66,287,3021,566,329,1,103732,277,0,611,71,5076,83845,0,1047,179,296,8853,23375,331,2,5138,43,38524,256,6481,1,47466,1,1,491,4547,1028,222,81872,1,2084,262,1332,143,7640,27956,0
237,ZW2076,ZW,Dutch,Wooden,1727,InsideBase,459,1,312,204,2815,784,626,1,155889,230,0,556,67,2432,82747,0,1073,280,224,10896,27368,292,197,3007,0,38671,136,7274,480,49187,1,116,497,5660,1876,471,110245,1,1765,249,1556,1,8342,27888,1
49,ZW2076,ZW,Dutch,Wooden,1727,InsideBase,579,1,130,201,3257,626,670,1,155084,156,1,462,52,2380,79127,0,1061,100,1172,9784,26473,267,105,2909,0,38826,-8,6562,288,48642,-3,1,545,5672,1001,1,109283,1,1688,249,1104,1,7837,26660,99
236,UNID6349,UNID,Unknown,Unknown,NA,Side,500,95,2625,226,1669,196,-5,1,126416,361,0,180,351,2070,151101,242,1063,324,232,5788,5267,345,1,93037,61,35055,156,2940,148,44131,0,313,323,4237,1627,284,70189,1,1829,119,6152,1,91683,25019,0
