id,regno,site,class,construction,year,place,Al_K12,As_K12,As_L1,Ba_K12,Ba_L1,Ca_K12,Cl_K12,Cr_K12,Cs_K12,Cs_L1,Cu_K12,Fe_K12,Ga_K12,Ga_L1,K_K12,Mg_K12,Mn_K12,Na_K12,Ni_K12,P_K12,Rb_K12,Rb_L1,Rh_K12,Rh_L1,S_K12,Si_K12,Sr_K12,Sr_L1,Ti_K12,Yb_L1,Zn_K12
7,ZW1837,ZW,Dutch,Wooden,1727,Bottom,130708,46113,1,0,36246,2518913,113000,25947,0,6748,30954,258566,27068,3614,304297,39981,163508,22354,19771,97491,24563,1,19,123410,43003,2875345,7280,1,5012,26072,17903
8,ZW1837,ZW,Dutch,Wooden,1727,Cross,137792,47204,1,0,38180,2642090,117236,26848,0,6905,31756,272085,27780,3886,321776,43321,171303,24305,20653,103715,25170,1,26,125948,46922,2985837,7722,1,5213,27047,18549
9,ZW1837,ZW,Dutch,Wooden,1727,Side,142492,48213,1,0,38992,2666153,119777,28149,0,6988,32806,274642,27482,3804,327991,42325,175260,23586,21476,103581,25447,1,33,131329,76574,3063592,7755,1,5199,27299,18684
11,ZW2125,ZW,Dutch,Wooden,1727,Cross,156379,49957,1,0,40798,3010997,123391,30524,0,7021,34179,356401,27522,4225,298142,48221,167360,20164,22430,124641,26109,1,27,147797,30598,3205540,7922,1,6670,28880,19870
12,ZW2125,ZW,Dutch,Wooden,1727,InsideBase,149072,49260,1,0,40170,2936274,125730,29391,0,6808,33763,344495,27419,4015,297372,46780,163845,19440,21974,121166,25744,1,27,144427,26659,3126235,8025,1,6004,28412,19335
13,ZW2125,ZW,Dutch,Wooden,1727,Cross,189995,50438,1,0,41323,3063890,124652,31124,0,7220,34875,364223,28172,4129,305519,49239,171832,20704,23279,125854,26351,1,21,150438,32188,3240878,8254,1,6638,29233,20358
14,ZW1837B,ZW,Dutch,Wooden,1727,InsideBase,159569,46740,1,0,42225,2614025,119872,27031,0,7112,33012,284082,27904,4000,487724,47403,165949,15890,20456,135416,25057,1,21,127714,112349,2947931,7418,1,2738,26561,18793
15,ZW1837B,ZW,Dutch,Wooden,1727,Side,156257,48091,1,0,41241,2669826,105084,27492,0,7195,32750,286417,27666,4010,494279,48388,167370,15418,21168,131483,25195,1,34,138096,103359,2997725,7837,1,2698,27480,18571
16,ZW1837B,ZW,Dutch,Wooden,1727,Side,157481,46237,1,0,39774,2527998,87943,26053,0,6846,31936,273459,26962,3673,467468,44911,158757,13156,20026,117325,24225,1,21,128709,38234,2894857,7146,1,2688,26092,17796
17,ZW1233,ZW,Dutch,Wooden,1727,Exterior,111605,55173,1,0,41188,1725270,32611,27888,0,7971,36635,566777,31171,2780,205427,50261,498960,30820,25041,15309,28802,1,42,129485,48044,2607572,8800,1,18592,27399,16708
18,ZW1233,ZW,Dutch,Wooden,1727,Exterior,103312,56787,1,0,42385,1660997,31910,28118,0,8481,37995,573813,31995,2528,204168,38880,511530,20903,25635,16198,29554,1,34,136394,52946,2291150,8816,1,19125,28061,17173
19,ZW1233,ZW,Dutch,Wooden,1727,Side,89109,50182,1,0,39907,1419601,32673,25728,0,8936,34751,492615,30292,2468,179386,37661,456972,22988,22677,13633,25827,1,28,129156,55036,2141390,7787,1,15106,25726,16194
20,ZW127,ZW,Dutch,Wooden,1727,Cross,146519,49888,1,0,40263,2991970,123478,29926,0,7074,34058,328982,28359,4228,395543,51944,157847,25248,22753,137727,26529,1,26,148424,31664,3169186,8036,1,4608,28951,18647
21,ZW127,ZW,Dutch,Wooden,1727,Exterior,197770,50962,1,0,41043,1757771,113436,27609,0,8054,36636,413346,29638,3916,361844,37970,141554,20046,21893,103296,26335,1,24,124613,222414,3054375,8100,1,12610,27776,20411
22,ZW127,ZW,Dutch,Wooden,1727,Base,239304,53528,4,0,45184,981909,68447,27641,0,9001,39219,476364,31932,3499,332675,24580,112016,16603,22834,53682,27262,1,32,110186,126261,3351018,8026,1,25526,28419,21302
23,ZW2026,ZW,Dutch,Wooden,1727,Cross,138760,46772,1,0,35141,2716557,150004,27790,0,6730,31546,371466,27376,3787,157415,39112,98153,24162,20470,95745,25094,1,27,124951,17219,3030061,7622,1,11475,26010,18554
24,ZW2026,ZW,Dutch,Wooden,1727,InsideBase,162142,52203,1,0,38156,3030772,165587,32059,0,7134,35259,423229,29350,4166,184079,43675,110030,26975,23009,106437,27015,1,36,146429,24125,3372176,8612,1,14368,29658,19716
25,ZW2026,ZW,Dutch,Wooden,1727,Side,152079,50694,1,0,37209,3001547,164002,31373,0,6931,34711,406538,28676,4211,175672,43489,108304,26097,22250,106884,27127,1,31,142705,16684,3336869,8171,1,13775,29322,19351
26,ZW1113,ZW,Dutch,Wooden,1727,Side,68865,51294,1,0,40702,1873294,141526,24074,0,7286,38834,379437,28187,4117,254917,313798,170088,9015,22012,115470,26666,1,27,112065,125369,1981921,8316,1,7840,27416,21508
27,ZW1113,ZW,Dutch,Wooden,1727,Side,97751,51073,1,1,39222,1995331,207747,22415,1,6915,39584,418068,27891,3415,232314,133615,166202,8774,21516,170242,26915,1,34,110667,138642,1711600,8193,1,10999,26631,21810
28,ZW1113,ZW,Dutch,Wooden,1727,Side,101593,48234,1,0,37987,1982966,115949,22360,0,6732,34481,368705,27593,3669,295608,163171,155741,12491,19486,89968,25478,1,41,106264,77722,2167239,7752,1,9817,25361,20465
29,ZW1836,ZW,Dutch,Wooden,1727,Cross,148265,49853,1,0,32451,3084818,64703,30391,0,6734,35575,466199,27560,4080,544354,42967,72556,13569,21591,135390,25817,1,26,153400,145556,3106591,8214,1,7441,28643,20691
30,ZW1836,ZW,Dutch,Wooden,1727,Side,144961,48473,1,0,31708,2958898,66771,28737,0,6883,34208,447621,26919,3853,521134,40498,70231,13134,20794,129734,24964,1,31,146782,151446,2983225,7592,1,5970,27513,20023
31,ZW1836,ZW,Dutch,Wooden,1727,InsideBase,137168,45541,1,0,29153,2704506,57953,26215,0,6502,32095,418086,25410,3764,491339,35028,65128,11764,19169,115864,23693,1,24,134656,120526,2775421,7214,1,6228,25572,18950
32,ZW1885B,ZW,Dutch,Wooden,1727,Side,152243,49862,1,0,40730,2832327,104054,29499,0,6944,34200,366050,27714,4199,445183,50828,228979,22259,23271,136207,25874,1,33,151902,47403,3135284,7847,1,9764,28066,19931
